repetition	kmers_in_motifs	kmers_in_partial_motifs	recovered_partial_motifs	recovered_motifs	overlap_0	overlap_1	overlap_2	overlap_3	setting
0	0.1	0.8	1.0	1.0	6	0	21	3	batch_no_correction
0	0.1	0.7666666666666667	1.0	1.0	7	0	20	3	batch_no_correction
0	0.1	0.8666666666666667	1.0	1.0	4	0	23	3	batch_no_correction
0	0.1	0.7333333333333333	1.0	1.0	8	0	19	3	batch_no_correction
0	0.1	0.8333333333333334	1.0	1.0	5	0	22	3	batch_no_correction
0	0.1	0.7666666666666667	1.0	1.0	7	6	14	3	batch_linear_reg
0	0.1	0.7333333333333333	1.0	1.0	8	3	16	3	batch_linear_reg
0	0.1	0.6666666666666666	1.0	1.0	10	3	14	3	batch_linear_reg
0	0.1	0.8333333333333334	1.0	1.0	5	5	17	3	batch_linear_reg
0	0.1	0.7333333333333333	1.0	1.0	8	2	17	3	batch_linear_reg
0	0.1	1.0	1.0	1.0	0	0	27	3	control_no_correction
0	0.1	1.0	1.0	1.0	0	0	27	3	control_no_correction
0	0.1	1.0	1.0	1.0	0	0	27	3	control_no_correction
0	0.1	1.0	1.0	1.0	0	0	27	3	control_no_correction
0	0.1	1.0	1.0	1.0	0	0	27	3	control_no_correction
